lecture,lecture_index,model_a,model_b,avg_concept_jaccard,avg_triple_f1,n_slides
Lecture 1,1,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.1231038961038961,0.008,50
Lecture 1,1,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.08807936507936509,0.041333333333333326,50
Lecture 1,1,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.04996969696969697,0.0,50
Lecture 1,1,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.05631746031746033,0.0,50
Lecture 1,1,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.05836507936507936,0.0,50
Lecture 1,1,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.01631818181818182,0.0,50
Lecture 2,2,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.24921306471306476,0.0,50
Lecture 2,2,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.03678571428571429,0.01,50
Lecture 2,2,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.04114285714285714,0.0,50
Lecture 2,2,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.23346891996891997,0.0,50
Lecture 2,2,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.19233333333333336,0.02,50
Lecture 2,2,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.03571428571428571,0.0,50
Lecture 3,3,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.2162202380952381,0.0,40
Lecture 3,3,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.14110119047619046,0.025,40
Lecture 3,3,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.07313492063492064,0.0,40
Lecture 3,3,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.28098755411255416,0.0,40
Lecture 3,3,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.17111922799422796,0.0,40
Lecture 3,3,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.059503968253968254,0.0,40
Lecture 4,4,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.19543291175944236,0.0,49
Lecture 4,4,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.0663265306122449,0.03401360544217687,49
Lecture 4,4,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.038708230544965236,0.0,49
Lecture 4,4,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.14989766469358304,0.0,49
Lecture 4,4,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.1045432458697765,0.0,49
Lecture 4,4,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.03241010689990281,0.0,49
Lecture 5,5,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.0,0.0,50
Lecture 5,5,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.0,0.0,50
Lecture 5,5,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.018222222222222223,0.0,50
Lecture 5,5,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.0,0.0,50
Lecture 5,5,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen2-VL-7B-Instruct,0.028095238095238093,0.02,50
Lecture 5,5,llava-hf__llava-onevision-qwen2-7b-ov-hf,Qwen__Qwen3-VL-4B-Instruct,0.012222222222222223,0.0,50
Lecture 6,6,OpenGVLab__InternVL3-14B,Qwen__Qwen2-VL-7B-Instruct,0.09940476190476193,0.0,42
Lecture 6,6,OpenGVLab__InternVL3-14B,Qwen__Qwen3-VL-4B-Instruct,0.030952380952380953,0.01904761904761905,42
Lecture 6,6,Qwen__Qwen2-VL-7B-Instruct,Qwen__Qwen3-VL-4B-Instruct,0.017006802721088437,0.0,42
Lecture 6,6,llava-hf__llava-onevision-qwen2-7b-ov-hf,OpenGVLab__InternVL3-14B,0.0,0.0,42
