model,lecture,lecture_index,concepts_valid,concepts_total,triples_valid,triples_total
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 1,1,50,50,50,50
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 2,2,50,50,50,50
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 3,3,40,40,40,40
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 4,4,48,49,48,49
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 5,5,50,50,50,50
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 6,6,0,42,0,42
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 7,7,46,47,46,47
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 8,8,43,43,43,43
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 9,9,29,29,29,29
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 10,10,50,50,50,50
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 11,11,64,64,64,64
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 12,12,50,50,50,50
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 13,13,50,50,50,50
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 14,14,60,60,60,60
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 15,15,30,30,30,30
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 16,16,55,55,55,55
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 17,17,55,55,54,55
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 18,18,55,55,54,55
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 19,19,55,55,55,55
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 20,20,55,55,54,55
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 21,21,43,43,43,43
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 22,22,45,45,45,45
llava-hf__llava-onevision-qwen2-7b-ov-hf,Lecture 23,23,50,50,50,50
OpenGVLab__InternVL3-14B,Lecture 1,1,50,50,50,50
OpenGVLab__InternVL3-14B,Lecture 2,2,50,50,50,50
OpenGVLab__InternVL3-14B,Lecture 3,3,40,40,40,40
OpenGVLab__InternVL3-14B,Lecture 4,4,49,49,49,49
OpenGVLab__InternVL3-14B,Lecture 5,5,0,50,0,50
OpenGVLab__InternVL3-14B,Lecture 6,6,42,42,42,42
OpenGVLab__InternVL3-14B,Lecture 7,7,47,47,47,47
OpenGVLab__InternVL3-14B,Lecture 8,8,43,43,43,43
OpenGVLab__InternVL3-14B,Lecture 9,9,29,29,29,29
OpenGVLab__InternVL3-14B,Lecture 10,10,2,50,25,50
OpenGVLab__InternVL3-14B,Lecture 11,11,64,64,64,64
OpenGVLab__InternVL3-14B,Lecture 12,12,50,50,50,50
OpenGVLab__InternVL3-14B,Lecture 13,13,0,50,0,50
OpenGVLab__InternVL3-14B,Lecture 14,14,60,60,60,60
OpenGVLab__InternVL3-14B,Lecture 15,15,30,30,30,30
OpenGVLab__InternVL3-14B,Lecture 16,16,55,55,55,55
OpenGVLab__InternVL3-14B,Lecture 17,17,55,55,55,55
OpenGVLab__InternVL3-14B,Lecture 18,18,55,55,55,55
OpenGVLab__InternVL3-14B,Lecture 19,19,0,55,0,55
OpenGVLab__InternVL3-14B,Lecture 20,20,55,55,54,55
OpenGVLab__InternVL3-14B,Lecture 21,21,38,43,43,43
OpenGVLab__InternVL3-14B,Lecture 22,22,45,45,45,45
OpenGVLab__InternVL3-14B,Lecture 23,23,50,50,50,50
Qwen__Qwen2-VL-7B-Instruct,Lecture 1,1,50,50,50,50
Qwen__Qwen2-VL-7B-Instruct,Lecture 2,2,48,50,48,50
Qwen__Qwen2-VL-7B-Instruct,Lecture 3,3,40,40,40,40
Qwen__Qwen2-VL-7B-Instruct,Lecture 4,4,49,49,49,49
Qwen__Qwen2-VL-7B-Instruct,Lecture 5,5,50,50,48,50
Qwen__Qwen2-VL-7B-Instruct,Lecture 6,6,42,42,42,42
Qwen__Qwen2-VL-7B-Instruct,Lecture 7,7,46,47,45,47
Qwen__Qwen2-VL-7B-Instruct,Lecture 8,8,41,43,42,43
Qwen__Qwen2-VL-7B-Instruct,Lecture 9,9,29,29,29,29
Qwen__Qwen2-VL-7B-Instruct,Lecture 10,10,49,50,49,50
Qwen__Qwen2-VL-7B-Instruct,Lecture 11,11,63,64,63,64
