lecture,lecture_index,model,mean_concept_jaccard,mean_triple_f1,n_slides
Lecture 1,1,OpenGVLab__InternVL3-14B,0.2477777777777778,0.04666666666666666,50
Lecture 1,1,Qwen__Qwen2-VL-7B-Instruct,0.2075,0.013333333333333332,50
Lecture 1,1,Qwen__Qwen3-VL-4B-Instruct,0.12696825396825398,0.05333333333333333,50
Lecture 1,1,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.09430952380952382,0.0,50
Lecture 2,2,OpenGVLab__InternVL3-14B,0.4115533910533911,0.013333333333333332,50
Lecture 2,2,Qwen__Qwen2-VL-7B-Instruct,0.3326984126984127,0.02,50
Lecture 2,2,Qwen__Qwen3-VL-4B-Instruct,0.05047619047619047,0.013333333333333332,50
Lecture 2,2,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.3219920634920635,0.02,50
Lecture 3,3,OpenGVLab__InternVL3-14B,0.5212996031746032,0.025,40
Lecture 3,3,Qwen__Qwen2-VL-7B-Instruct,0.31846230158730154,0.0,40
Lecture 3,3,Qwen__Qwen3-VL-4B-Instruct,0.1955952380952381,0.025,40
Lecture 3,3,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.3912996031746032,0.0,40
Lecture 4,4,OpenGVLab__InternVL3-14B,0.32978620019436344,0.03401360544217687,49
Lecture 4,4,Qwen__Qwen2-VL-7B-Instruct,0.2756235827664399,0.0,49
Lecture 4,4,Qwen__Qwen3-VL-4B-Instruct,0.07233560090702948,0.04081632653061224,49
Lecture 4,4,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.20282636864269513,0.0,49
Lecture 5,5,OpenGVLab__InternVL3-14B,0.0,0.0,50
Lecture 5,5,Qwen__Qwen2-VL-7B-Instruct,0.042,0.02,50
Lecture 5,5,Qwen__Qwen3-VL-4B-Instruct,0.021,0.0,50
Lecture 5,5,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.050095238095238095,0.02,50
Lecture 6,6,OpenGVLab__InternVL3-14B,0.1438397581254724,0.01904761904761905,42
Lecture 6,6,Qwen__Qwen2-VL-7B-Instruct,0.1380952380952381,0.0,42
Lecture 6,6,Qwen__Qwen3-VL-4B-Instruct,0.044387755102040814,0.023809523809523808,42
Lecture 6,6,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.0,0.0,42
Lecture 7,7,OpenGVLab__InternVL3-14B,0.19440299653065612,0.02127659574468085,47
Lecture 7,7,Qwen__Qwen2-VL-7B-Instruct,0.1735055724417426,0.02127659574468085,47
Lecture 7,7,Qwen__Qwen3-VL-4B-Instruct,0.02127659574468085,0.0,47
Lecture 7,7,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.14019756838905775,0.0,47
Lecture 8,8,OpenGVLab__InternVL3-14B,0.23631413805832413,0.03875968992248062,43
Lecture 8,8,Qwen__Qwen2-VL-7B-Instruct,0.1140826873385013,0.0,43
Lecture 8,8,Qwen__Qwen3-VL-4B-Instruct,0.011627906976744186,0.03488372093023256,43
Lecture 8,8,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.18435769656699888,0.0,43
Lecture 9,9,OpenGVLab__InternVL3-14B,0.2431581828133552,0.07471264367816091,29
Lecture 9,9,Qwen__Qwen2-VL-7B-Instruct,0.18719211822660095,0.0,29
Lecture 9,9,Qwen__Qwen3-VL-4B-Instruct,0.07512315270935961,0.10344827586206896,29
Lecture 9,9,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.2707307060755337,0.0,29
Lecture 10,10,OpenGVLab__InternVL3-14B,0.022285714285714287,0.0,50
Lecture 10,10,Qwen__Qwen2-VL-7B-Instruct,0.10949999999999999,0.0,50
Lecture 10,10,Qwen__Qwen3-VL-4B-Instruct,0.035333333333333335,0.0,50
Lecture 10,10,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.11542857142857142,0.0,50
Lecture 11,11,OpenGVLab__InternVL3-14B,0.23700396825396824,0.057291666666666664,64
Lecture 11,11,Qwen__Qwen2-VL-7B-Instruct,0.13030133928571427,0.041666666666666664,64
Lecture 11,11,Qwen__Qwen3-VL-4B-Instruct,0.04780505952380952,0.057291666666666664,64
Lecture 11,11,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.198046875,0.026041666666666664,64
Lecture 12,12,OpenGVLab__InternVL3-14B,0.15905555555555556,0.018000000000000002,50
Lecture 12,12,Qwen__Qwen2-VL-7B-Instruct,0.10033333333333333,0.02,50
Lecture 12,12,Qwen__Qwen3-VL-4B-Instruct,0.05714285714285714,0.04,50
Lecture 12,12,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.10152380952380953,0.02,50
Lecture 13,13,OpenGVLab__InternVL3-14B,0.0,0.0,50
Lecture 13,13,Qwen__Qwen2-VL-7B-Instruct,0.2454285714285714,0.0,50
Lecture 13,13,Qwen__Qwen3-VL-4B-Instruct,0.12223809523809523,0.0,50
Lecture 13,13,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.23147619047619053,0.0,50
Lecture 14,14,OpenGVLab__InternVL3-14B,0.23354497354497353,0.09166666666666666,60
Lecture 14,14,Qwen__Qwen2-VL-7B-Instruct,0.19714646464646465,0.03333333333333333,60
Lecture 14,14,Qwen__Qwen3-VL-4B-Instruct,0.09564814814814815,0.03333333333333333,60
Lecture 14,14,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.2232738095238095,0.04444444444444444,60
Lecture 15,15,OpenGVLab__InternVL3-14B,0.3193458393458393,0.14444444444444443,30
Lecture 15,15,Qwen__Qwen2-VL-7B-Instruct,0.2564153439153439,0.04444444444444444,30
Lecture 15,15,Qwen__Qwen3-VL-4B-Instruct,0.09603174603174604,0.08222222222222222,30
Lecture 15,15,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.27343314093314086,0.06666666666666667,30
Lecture 16,16,OpenGVLab__InternVL3-14B,0.1645021645021645,0.03333333333333333,55
Lecture 16,16,Qwen__Qwen2-VL-7B-Instruct,0.11136363636363636,0.0,55
Lecture 16,16,Qwen__Qwen3-VL-4B-Instruct,0.07489177489177488,0.02727272727272727,55
Lecture 16,16,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.10015873015873016,0.01818181818181818,55
Lecture 17,17,OpenGVLab__InternVL3-14B,0.2234376229830775,0.037575757575757575,55
Lecture 17,17,Qwen__Qwen2-VL-7B-Instruct,0.17284730421094058,0.0,55
Lecture 17,17,Qwen__Qwen3-VL-4B-Instruct,0.05638528138528138,0.05454545454545454,55
Lecture 17,17,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.2282395382395382,0.0,55
Lecture 18,18,OpenGVLab__InternVL3-14B,0.1990981240981241,0.0606060606060606,55
Lecture 18,18,Qwen__Qwen2-VL-7B-Instruct,0.1935058375967466,0.01818181818181818,55
Lecture 18,18,Qwen__Qwen3-VL-4B-Instruct,0.04329004329004329,0.05454545454545454,55
Lecture 18,18,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.15971992653810835,0.03636363636363636,55
Lecture 19,19,OpenGVLab__InternVL3-14B,0.0,0.0,55
Lecture 19,19,Qwen__Qwen2-VL-7B-Instruct,0.0903030303030303,0.01818181818181818,55
Lecture 19,19,Qwen__Qwen3-VL-4B-Instruct,0.025974025974025976,0.0,55
Lecture 19,19,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.09668109668109669,0.01818181818181818,55
Lecture 20,20,OpenGVLab__InternVL3-14B,0.07151515151515152,0.12424242424242425,55
Lecture 20,20,Qwen__Qwen2-VL-7B-Instruct,0.0196969696969697,0.012121212121212121,55
Lecture 20,20,Qwen__Qwen3-VL-4B-Instruct,0.0303030303030303,0.1575757575757576,55
Lecture 20,20,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.06,0.012121212121212121,55
Lecture 21,21,OpenGVLab__InternVL3-14B,0.07131782945736434,0.09457364341085271,43
Lecture 21,21,Qwen__Qwen2-VL-7B-Instruct,0.023255813953488372,0.046511627906976744,43
Lecture 21,21,Qwen__Qwen3-VL-4B-Instruct,0.0,0.09302325581395349,43
Lecture 21,21,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.04160206718346253,0.023255813953488372,43
Lecture 22,22,OpenGVLab__InternVL3-14B,0.1335978835978836,0.05185185185185184,45
Lecture 22,22,Qwen__Qwen2-VL-7B-Instruct,0.07037037037037037,0.022222222222222223,45
Lecture 22,22,Qwen__Qwen3-VL-4B-Instruct,0.013580246913580249,0.044444444444444446,45
Lecture 22,22,llava-hf__llava-onevision-qwen2-7b-ov-hf,0.08395061728395062,0.022222222222222223,45
Lecture 23,23,OpenGVLab__InternVL3-14B,0.08333333333333331,0.05333333333333333,50
