slide_number,text,concepts,triples,raw_output
1,"Hi everyone, and welcome to this online course on Medical Imaging. I’m Professor Ge Wang, and I’ll be guiding you through this exciting journey.

Medical imaging is a fascinating and powerful field. It brings together science, engineering, and medicine to help us see what’s happening inside the human body—without making a single cut. Whether your background is in engineering, physics, computer science, or biology, you’ll find that medical imaging offers something valuable and fascinating.

In the weeks ahead, we’ll build a strong foundation in the core principles of imaging and describe a variety of technologies that are transforming modern healthcare. I'm excited to get started—and I hope you are too.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
2,"We’ll begin with the fundamentals — systems, Fourier analysis, signal processing — and hands-on MATLAB sessions. Then we’ll explore major imaging techniques: X-ray and radiography, CT, PET, SPECT, MRI, ultrasound, optical, and deep imaging. Along the way, we’ll have three exams to help you review and reinforce what you learn


Now, just a quick note: in a traditional classroom, I’d mention office hours; however, since this is an online course, I encourage you to participate actively in our discussion forums. Don’t hesitate to post questions or thoughts as they come up. Learning is always more effective when it's interactive.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
3,"So, to kick things off, let me give you a quick overview of what we’ll cover today.

There are four main questions we’ll explore:

First, what is medical imaging?

Second, why should we study it?

Third, who are involved in this course?

And finally, how are we going to approach the material?

Now, when we talk about medical imaging—sometimes we use the terms biomedical imaging or bio-instrumentation—we’re referring to a wide range of methods, technologies and systems that help us see inside the human body, animals, or biological samples. These methods are grounded in engineering, physics, and biomedicine.

And this isn’t just about theory. You’ll also get hands-on experience with tools like MATLAB, and you’ll work with selected reading materials and online resources. By the end of the course, you’ll not only understand how these imaging systems work but also be able to apply that knowledge in a meaningful way.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
4,"Let’s continue explaining our idea of medical imaging as a form of inner vision.

You know, as humans, our natural vision is powerful—but it’s limited. We can see the world around us, we can observe surfaces, recognize faces, navigate through our environment. But our vision is tied to visible light, and that means we can’t see through most objects. We don’t know what’s behind a wall, inside a box, or within our own bodies.

That’s where medical imaging comes in. It gives us the ability to look beyond the surface—to see inside the human body without making a single incision. This is what makes medical imaging so extraordinary. It extends our natural vision, allowing us to explore what’s hidden, to understand both the structure and function of our organs, and to help guide medical care.

Think about it—when someone doesn’t feel well, when there’s discomfort or concern, what do we do? We turn to imaging. It becomes the eyes of the physician, revealing what’s happening beneath the surface. Through imaging, doctors can measure physiological function, detect disease, and ultimately provide treatment that can ease suffering or even save lives.

That’s the true power of medical imaging—and why we call it the inner vision of modern medicine.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
5,"Let me ask you this—what if we could see through the human body, almost like having X-ray vision? Imagine being able to look at tissues, organs, even down to the cellular level. Sounds like science fiction, right?

Well, that’s exactly the dream of medical imaging. This field gives us a kind of ""super vision""—an inner vision—that lets us explore the human body from the inside out, completely noninvasively.

And the truth is, what once seemed futuristic is now part of everyday medical practice. With the tools we’ll talk about in this course, clinicians can detect problems earlier, treat patients more precisely, and monitor progress more closely. Many of the advances in imaging came from the needs that once seemed impossible—until technology caught up. You’ll see how these breakthroughs happened, and why they matter.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
6,"Now, let’s go back to where it all began. In 1895, a German physicist named Wilhelm Conrad Roentgen was experimenting with cathode rays when he discovered something totally unexpected—an invisible form of radiation that could pass through solid objects. He called them X-rays because he didn’t quite know what they were.

To test his discovery, he took the first X-ray image—a picture of his wife’s hand. You could clearly see the bones, and even her wedding ring. It was the first time humans saw inside the body without surgery. That moment changed medicine forever.

X-rays could depict dense structures like bones and metal with incredible clarity. This breakthrough was so significant that Roentgen received a Nobel Prize in 1901.

That single discovery launched the field of radiology—and over a century later, we’re still building on it.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
7,"Fast forward to today, and X-ray imaging—specifically X-ray radiography—is one of the most common tools used in hospitals and clinics around the world. It’s fast, affordable, and incredibly useful.

Let’s say someone falls and hurts their arm. An X-ray can quickly show whether there's a fracture. Or in breast cancer screening, mammography—a specialized type of X-ray radiography—can reveal tiny calcifications or early tumors that might not be detectable by touch. Early detection like this can save lives.

But there’s a limitation with X-ray radiographs. They’re 2D projections, so everything in the body along the X-ray path gets stacked into one image. That makes it hard to see soft tissues clearly or to isolate specific structures.

So, the next logical step was to ask—what if we could look from multiple directions and reconstruct a full 3D view of what’s inside? That question led to the development of Computed Tomography, or CT, which we’ll get into next.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
8,"Alright, so earlier we talked about how regular X-rays give us a flat, two-dimensional view of the body. But there’s a catch—everything in that path gets layered on top of each other. It’s like looking at shadows overlapped together.

Now imagine if we could take many X-ray radiographs around the body—virtually, of course—and figure out what’s happening on transverse sections. That’s exactly what computed tomography, or CT, allows us to do.

The word ""tomography"" comes from Greek—""tomos"" means slice, and ""graphy"" means writing or drawing. So, we're basically drawing slices of the body. With CT, we collect X-ray projections from many angles, then use a computer to reconstruct a cross-sectional image.

The result? A crystal-clear view of internal anatomy, without overlapping tissues. Today’s CT scanners are incredibly precise—some can even resolve features smaller than a millimeter. Think of it like slicing a watermelon and looking inside but doing it without a knife—just scanning. It’s an amazing tool, and one that has completely transformed modern medicine.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
9,"Now, if you want to get a fun and visual explanation of how X-rays work, there’s a great animated video I did for TED-Ed. It’s called “How X-rays See Through Your Skin.”

In just a few minutes, it walks you through how X-rays are produced, how they interact with the body, and how detected signals are turned into a cross-sectional image. It’s a great refresher, especially if you’re a visual learner.

You’ll also see how this technology became the foundation for other types of imaging we’ll cover—like PET, SPECT, and MRI. The video’s optional, but I really recommend checking it out when you have a moment.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
10,"So far, we've focused on X-rays—but medical imaging goes way beyond that. In fact, it covers almost the entire electromagnetic spectrum.

Depending on what part of the spectrum you use, you get different kinds of information. For example:

Gamma rays are used in nuclear imaging, like PET and SPECT

Radio waves are instrumental in MRI

Visible and infrared light are for optical imaging

And even ultrasound, though not part of the EM spectrum, gives us mechanical wave-based imaging, referred to as ultrasound imaging.

Each imaging modality has its own strengths and weaknesses. Some are great for structure, others for function. Some are good at seeing bones, others at detecting molecular processes like metabolism or gene expression.

In fact, no single technique gives us the whole picture. That’s why modern medicine often combines them—what we call multimodal imaging. When we link them together, we get a rather rich view of what’s going on inside the body.",[],[],"You are an expert assistant helping extract structured information from lecture slides.
Extract:
1. ..."
